ID,name,position,age,nationality,current_club,matches_played
f100,Skelly Alvero,MF,22,fr FRA,Werder Bremen,12
f101,Will Alves,FW,20,eng ENG,Leicester City,1
f102,Selim Amallah,"MF,FW",28,ma MAR,Valladolid,15
f103,Amath,"FW,DF",28,sn SEN,Valladolid,9
f104,Jordan Amavi,DF,30,fr FRA,Brest,11
f105,Aurele Amenda,DF,21,ch SUI,Eint Frankfurt,4
f106,Kelvin Amian,"DF,MF",27,fr FRA,Nantes,18
f107,Michael Amir Murillo,DF,29,pa PAN,Marseille,20
f108,Nadiem Amiri,MF,28,de GER,Mainz 05,18
f109,Samuel Amo-Ameyaw,"FW,DF",18,eng ENG,Southampton,2
f110,Mathis Amougou,MF,19,fr FRA,Saint-Étienne,17
f111,Mohamed Amoura,FW,24,dz ALG,Wolfsburg,19
f112,Sofyan Amrabat,MF,28,ma MAR,Fiorentina,2
f113,Joachim Andersen,DF,28,dk DEN,Crystal Palace,1
f114,Joachim Andersen,DF,28,dk DEN,Fulham,15
f115,Elliot Anderson,MF,22,eng ENG,Nott'ham Forest,23
f116,André,MF,23,br BRA,Wolves,19
f117,Benjamin André,MF,34,fr FRA,Lille,18
f118,Marcos André,FW,28,br BRA,Valladolid,16
f119,Robert Andrich,MF,30,de GER,Leverkusen,16
f120,Angeliño,DF,28,es ESP,Roma,24
f121,Lorenzo Anghelè,FW,19,it ITA,Juventus,1
f122,Faustino Anjorin,MF,23,eng ENG,Empoli,17
f123,Waldemar Anton,DF,28,de GER,Dortmund,16
f124,Leandro Antonetti,FW,22,pr PUR,Sevilla,1
f125,Michail Antonio,FW,34,jm JAM,West Ham,14
f126,Antoniu,MF,22,es ESP,Espanyol,12
f127,Antony,"DF,MF",24,br BRA,Manchester Utd,8
f128,Antony,FW,24,br BRA,Betis,2
f129,Anuar,"FW,MF",30,ma MAR,Valladolid,14
f130,Dennis Appiah,DF,32,fr FRA,Saint-Étienne,20
f131,Aritz Arambarri,DF,27,es ESP,Leganés,2
f132,Mauro Arambarri,MF,29,uy URU,Getafe,22
f133,Jon Aramburu,DF,22,ve VEN,Real Sociedad,20
f134,Julian Araujo,DF,23,mx MEX,Bournemouth,8
f135,Ronald Araújo,DF,25,uy URU,Barcelona,3
f136,Cameron Archer,FW,23,eng ENG,Southampton,21
f137,Carlens Arcus,DF,28,ht HAI,Angers,19
f138,Alphonse Areola,GK,31,fr FRA,West Ham,13
f139,Adu Ares,FW,23,es ESP,Athletic Club,1
f140,Jesús Areso,DF,25,es ESP,Osasuna,22
f141,David Argüelles,MF,23,es ESP,Getafe,1
f142,Joe Aribo,MF,28,ng NGA,Southampton,23
f143,Adam Armstrong,"FW,MF",28,eng ENG,Southampton,20
f144,Harrison Armstrong,MF,18,eng ENG,Everton,3
f145,José Arnaiz,"FW,MF",29,es ESP,Osasuna,7
f146,Hákon Arnar Haraldsson,"MF,FW",21,is ISL,Lille,13
f147,Marko Arnautović,FW,35,at AUT,Inter,9
f148,Maximilian Arnold,MF,30,de GER,Wolfsburg,20
f149,Jann-Fiete Arp,"FW,MF",25,de GER,Holstein Kiel,16
f150,Sergio Arribas,DF,22,es ESP,Betis,1
f151,Kepa Arrizabalaga,GK,30,es ESP,Bournemouth,17
f152,Arthur,"DF,FW",21,br BRA,Leverkusen,11
f153,Takuma Asano,"FW,MF",30,jp JPN,Mallorca,12
f154,Raúl Asencio,DF,22,es ESP,Real Madrid,11
f155,Marco Asensio,"FW,MF",29,es ESP,Paris S-G,12
f156,Kristjan Asllani,MF,22,al ALB,Inter,14
f157,Iago Aspas,"FW,MF",37,es ESP,Celta Vigo,16
f158,Yaser Asprilla,"FW,MF",21,co COL,Girona,15
f159,Lorenz Assignon,"DF,MF",24,tg TOG,Rennes,19
f160,Dehmaine Assoumani,"MF,FW",19,fr FRA,Nantes,9
f161,Valentin Atangana Edoa,MF,19,fr FRA,Reims,21
