ID,name,position,age,nationality,current_club,matches_played
f438,Pierrick Capelle,MF,37,fr FRA,Angers,11
f439,Gianluca Caprari,"MF,FW",31,it ITA,Monza,22
f440,Elia Caprile,GK,23,it ITA,Cagliari,5
f441,Elia Caprile,GK,23,it ITA,Napoli,4
f442,Gabin Capuano,FW,18,fr FRA,Lens,1
f443,Francesco Caputo,FW,37,it ITA,Empoli,1
f444,Maxence Caqueret,MF,25,fr FRA,Como,4
f445,Maxence Caqueret,MF,25,fr FRA,Lyon,9
f446,Andrea Carboni,DF,24,it ITA,Monza,18
f447,Franco Carboni,DF,21,it ITA,Venezia,6
f448,Valentin Carboni,"MF,FW",19,ar ARG,Marseille,4
f449,Cárdenas,GK,27,es ESP,Rayo Vallecano,5
f450,Irvin Cardona,"FW,MF",27,fr FRA,Espanyol,16
f451,Irvin Cardona,FW,27,fr FRA,Saint-Étienne,2
f452,Marc Cardona,"FW,MF",29,es ESP,Las Palmas,7
f453,Sergi Cardona,DF,25,es ESP,Villarreal,22
f454,Johnny Cardoso,MF,23,us USA,Betis,16
f455,Patrik Carlgren,GK,33,se SWE,Nantes,3
f456,Diego Carlos,DF,31,br BRA,Aston Villa,10
f457,Carmona,DF,23,es ESP,Sevilla,21
f458,Marco Carnesecchi,GK,24,it ITA,Atalanta,21
f459,Sergio Carreira,"MF,DF",24,es ESP,Celta Vigo,10
f460,Dani Carvajal,DF,33,es ESP,Real Madrid,8
f461,Fabio Carvalho,"FW,MF",22,pt POR,Brentford,17
f462,William Carvalho,MF,32,pt POR,Betis,4
f463,Cesare Casadei,MF,22,it ITA,Torino,2
f464,Marc Casado,MF,21,es ESP,Barcelona,19
f465,Nicolò Casale,DF,27,it ITA,Bologna,9
f466,Nicolò Casale,DF,27,it ITA,Lazio,2
f467,Casemiro,MF,32,br BRA,Manchester Utd,14
f468,Kaelan Casey,DF,20,eng ENG,West Ham,1
f469,Matty Cash,DF,27,pl POL,Aston Villa,16
f470,Josué Casimir,"FW,MF",23,fr FRA,Le Havre,15
f471,Federico Cassa,"MF,FW",19,it ITA,Atalanta,2
f472,Cristian Cásseres Jr.,MF,25,ve VEN,Toulouse,20
f473,Timothy Castagne,DF,29,be BEL,Fulham,14
f474,Valentín Castellanos,FW,26,ar ARG,Lazio,21
f475,Jean-Charles Castelletto,"DF,MF",30,cm CMR,Nantes,19
f476,Santiago Castro,FW,20,ar ARG,Bologna,24
f477,Gaetano Castrovilli,MF,27,it ITA,Monza,2
f478,Gaetano Castrovilli,"MF,FW",27,it ITA,Lazio,9
f479,Danilo Cataldi,MF,30,it ITA,Fiorentina,15
f480,Catena,DF,30,es ESP,Osasuna,21
f481,Maximiliano Caufriez,DF,27,be BEL,Valencia,1
f482,Dani Ceballos,MF,28,es ESP,Real Madrid,14
f483,Abdoulie Ceesay,FW,21,gm GAM,St. Pauli,3
f484,Zeki Çelik,DF,27,tr TUR,Roma,21
f485,Fabien Centonze,DF,29,fr FRA,Nantes,2
f486,Alberto Cerri,FW,28,it ITA,Como,5
f487,Franco Cervi,"FW,MF",30,ar ARG,Celta Vigo,6
f488,Julian Chabot,DF,27,de GER,Stuttgart,19
f489,El Chadaille Bitshiabu,DF,19,fr FRA,RB Leipzig,11
f490,Fares Chaïbi,"MF,FW",22,dz ALG,Eint Frankfurt,16
f491,Trevoh Chalobah,DF,25,eng ENG,Crystal Palace,12
f492,Trevoh Chalobah,DF,25,eng ENG,Chelsea,4
f493,Timothy Chandler,DF,34,us USA,Eint Frankfurt,2
f494,Conor Chaplin,"MF,FW",27,eng ENG,Ipswich Town,15
f495,Brendan Chardonnet,DF,30,fr FRA,Brest,19
f496,Gabriel Charpentier,FW,25,cg CGO,Parma,10
f497,Raúl Chasco,DF,21,es ESP,Valladolid,2
f498,Anrie Chase,DF,20,jp JPN,Stuttgart,12
f499,Pep Chavarría,DF,26,es ESP,Rayo Vallecano,19
f500,Arthur Chaves,DF,24,br BRA,Hoffenheim,14
f501,Jhoanner Chávez,"DF,MF",22,ec ECU,Lens,10
f502,Walid Cheddira,FW,27,ma MAR,Napoli,1
f503,Walid Cheddira,FW,27,ma MAR,Espanyol,17
f504,Chema,MF,19,es ESP,Real Madrid,1
f505,Théo Chennahi,"MF,DF",20,fr FRA,Montpellier,2
f506,Sidiki Cherif,FW,18,fr FRA,Angers,5
f507,Rayan Cherki,"FW,MF",21,fr FRA,Lyon,17
f508,Lucas Chevalier,GK,23,fr FRA,Lille,21
f509,Fabio Chiarodia,DF,19,it ITA,Gladbach,10
f510,Julián Chicco,MF,27,ar ARG,Leganés,8
f511,Leandro Chichizola,GK,34,ar ARG,Parma,1
f512,Federico Chiesa,FW,27,it ITA,Liverpool,3
f513,Chiquinho,MF,25,pt POR,Wolves,1
f514,Chiquinho,"MF,FW",25,pt POR,Mallorca,8
f515,Pedro Chirivella,MF,27,es ESP,Nantes,20
f516,Joris Chotard,MF,23,fr FRA,Montpellier,14
f517,Hamza Choudhury,"MF,DF",27,eng ENG,Leicester City,4
f518,Andreas Christensen,DF,28,dk DEN,Barcelona,1
f519,Ryan Christie,MF,29,sct SCO,Bournemouth,23
f520,Samuel Chukwueze,"FW,MF",25,ng NGA,Milan,19
f521,Aaron Ciammaglichella,MF,20,it ITA,Torino,1
f522,Jasper Cillessen,GK,35,nl NED,Las Palmas,21
f523,Alessandro Circati,DF,21,au AUS,Parma,4
f524,Pathé Ciss,MF,30,sn SEN,Rayo Vallecano,19
f525,Alphadjo Cissè,MF,18,it ITA,Hellas Verona,1
f526,Djaoui Cissé,MF,21,fr FRA,Rennes,2
f527,Seydouba Cissé,MF,24,gn GUI,Leganés,20
f528,Yoann Cissé,MF,20,fr FRA,Auxerre,1
f529,Patrick Ciurria,"MF,DF",30,it ITA,Monza,8
f530,Harry Clarke,DF,23,eng ENG,Ipswich Town,7
f531,Jack Clarke,"FW,MF",24,eng ENG,Ipswich Town,19
f532,Alexis Claude-Maurice,"MF,FW",26,fr FRA,Augsburg,16
f533,Jonathan Clauss,"DF,MF",32,fr FRA,Nice,16
f534,Silvi Clúa,MF,20,es ESP,Girona,4
f535,Nathaniel Clyne,"DF,MF",33,eng ENG,Crystal Palace,11
f536,Conor Coady,DF,31,eng ENG,Leicester City,10
f537,Marcus Coco,DF,28,fr FRA,Nantes,12
f538,Saúl Coco,DF,26,gq EQG,Torino,23
f539,Séamus Coleman,DF,36,ie IRL,Everton,3
f540,Nathan Collins,DF,23,ie IRL,Brentford,24
f541,Nnamdi Collins,DF,21,de GER,Eint Frankfurt,12
f542,Toby Collyer,MF,21,eng ENG,Manchester Utd,4
f543,Lorenzo Colombo,"FW,MF",22,it ITA,Empoli,24
f544,Andrea Colpani,"FW,MF",25,it ITA,Fiorentina,21
f545,Levi Colwill,DF,21,eng ENG,Chelsea,23
f546,Florinel Coman,MF,26,ro ROU,Cagliari,1
f547,Kingsley Coman,FW,28,fr FRA,Bayern Munich,19
f548,Eray Cömert,"DF,MF",27,ch SUI,Valladolid,16
f549,Santi Comesaña,MF,28,es ESP,Villarreal,21
f550,Pietro Comuzzo,DF,19,it ITA,Fiorentina,21
f551,Francisco Conceição,"FW,MF",22,pt POR,Juventus,16
f552,Diego Conde,GK,26,es ESP,Villarreal,17
f553,Tomás Conechny,"FW,MF",26,ar ARG,Alavés,14
f554,Alois Confais,MF,28,fr FRA,Le Havre,1
f555,Sirlord Conteh,"FW,MF",28,de GER,Heidenheim,20
f556,Lewis Cook,"MF,DF",28,eng ENG,Bournemouth,23
f557,Copete,DF,25,es ESP,Mallorca,16
f558,Diego Coppola,DF,21,it ITA,Hellas Verona,21
f559,Iker Córdoba,DF,19,es ESP,Valencia,2
f560,Derek Cornelius,DF,27,ca CAN,Marseille,14
f561,Maxwel Cornet,FW,28,ci CIV,Southampton,2
f562,Maxwel Cornet,FW,28,ci CIV,Genoa,2
f563,Pierre Cornud,DF,28,fr FRA,Saint-Étienne,10
f564,Ángel Correa,"FW,MF",29,ar ARG,Atlético Madrid,21
f565,Joaquín Correa,"FW,MF",30,ar ARG,Inter,5
f566,Thierry Correia,DF,25,pt POR,Valencia,11
f567,Coba da Costa,"MF,FW",22,es ESP,Getafe,8
f568,Danny da Costa,DF,31,de GER,Mainz 05,12
f569,David Costa,"MF,FW",24,pt POR,Lens,11
f570,Logan Costa,DF,23,cv CPV,Villarreal,17
f571,Logan Costa,DF,23,cv CPV,Toulouse,1
f572,Samu Costa,MF,24,pt POR,Mallorca,20
f573,Grégoire Coudert,GK,25,fr FRA,Brest,1
f574,Vladimír Coufal,DF,32,cz CZE,West Ham,15
f575,Lassana Coulibaly,MF,28,ml MLI,Lecce,24
f576,Lasso Coulibaly,"FW,MF",22,gh GHA,Auxerre,2
f577,Soumaïla Coulibaly,DF,21,fr FRA,Brest,6
f578,Tanguy Coulibaly,"FW,MF",23,fr FRA,Montpellier,13
f579,Woyo Coulibaly,DF,25,fr FRA,Leicester City,2
f580,Woyo Coulibaly,DF,25,fr FRA,Parma,14
f581,Thibaut Courtois,GK,32,be BEL,Real Madrid,20
f582,Yan Couto,DF,22,br BRA,Dortmund,13
f583,Nicolas Cozza,DF,26,fr FRA,Nantes,18
f584,Aaron Cresswell,DF,35,eng ENG,West Ham,10
f585,Charlie Cresswell,DF,22,eng ENG,Toulouse,19
f586,Bryan Cristante,MF,29,it ITA,Roma,17
f587,Domen Črnigoj,MF,29,si SVN,Venezia,8
f588,Juan Cruz Armada,DF,32,es ESP,Osasuna,15
f589,Juan Cruz,"FW,DF",24,es ESP,Leganés,22
f590,Juan Cuadrado,"DF,MF",36,co COL,Atalanta,12
f591,Pau Cubarsí,DF,18,es ESP,Barcelona,23
f592,Marc Cucurella,DF,26,es ESP,Chelsea,23
f593,Jorge Cuenca,DF,25,es ESP,Fulham,4
f594,Matheus Cunha,"MF,FW",25,br BRA,Wolves,23
f595,Patrick Cutrone,FW,27,it ITA,Como,24
f596,Tomáš Čvančara,"FW,MF",24,cz CZE,Gladbach,18
f597,Wylan Cyprien,MF,30,fr FRA,Parma,2
f598,Danilo D'Ambrosio,DF,36,it ITA,Monza,14
f599,Lucas Da Cunha,MF,23,fr FRA,Como,22
f600,Samuel Dahl,"DF,MF",24,se SWE,Roma,2
f601,Finn Dahmen,GK,26,de GER,Augsburg,7
f602,Mahmoud Dahoud,MF,29,de GER,Eint Frankfurt,8
f603,Patson Daka,"FW,MF",26,zm ZAM,Leicester City,12
f604,Ameen Al-Dakhil,DF,22,be BEL,Stuttgart,5
f605,Thijs Dallinga,"FW,MF",24,nl NED,Bologna,20
f606,Diogo Dalot,DF,25,pt POR,Manchester Utd,23
f607,Mikkel Damsgaard,"MF,FW",24,dk DEN,Brentford,24
f608,Maat Daniel Caprini,FW,19,it ITA,Fiorentina,1
f609,Flavius Daniliuc,DF,23,at AUT,Hellas Verona,16
f610,Danilo,MF,23,br BRA,Nott'ham Forest,2
f611,Danilo,DF,33,br BRA,Juventus,12
f612,Arnaut Danjuma,FW,28,nl NED,Villarreal,3
f613,Arnaut Danjuma,"FW,MF",28,nl NED,Girona,15
f614,Jayden Danns,MF,19,eng ENG,Liverpool,1
f615,Kévin Danois,MF,20,fr FRA,Auxerre,16
f616,Kevin Danso,DF,26,at AUT,Lens,12
f617,Dante,DF,41,br BRA,Nice,15
f618,Pape Daouda Diongue,"MF,FW",,sn SEN,Strasbourg,7
f619,Mohammed Daramy,FW,23,dk DEN,Reims,2
f620,Bence Dárdai,MF,19,de GER,Wolfsburg,11
f621,Sergi Darder,"MF,FW",31,es ESP,Mallorca,23
f622,Matteo Darmian,DF,35,it ITA,Inter,20
f623,Lukas Daschner,"MF,FW",26,de GER,Bochum,14
f624,Juan David Cabal,DF,24,co COL,Juventus,7
f625,Jonathan David,FW,25,ca CAN,Lille,20
f626,Alphonso Davies,DF,24,ca CAN,Bayern Munich,16
f627,Ben Davies,DF,31,wls WAL,Tottenham,7
f628,Keinan Davis,FW,27,eng ENG,Udinese,14
f629,Leif Davis,DF,25,eng ENG,Ipswich Town,24
f630,Zuriko Davitashvili,"MF,FW",24,ge GEO,Saint-Étienne,20
f631,Paweł Dawidowicz,DF,29,pl POL,Hellas Verona,15
f632,Craig Dawson,DF,34,eng ENG,Wolves,15
f633,Kevin De Bruyne,MF,33,be BEL,Manchester City,17
f634,Charles De Ketelaere,"MF,FW",23,be BEL,Atalanta,23
f635,Rodrigo De Paul,MF,30,ar ARG,Atlético Madrid,21
f636,Théo De Percin,GK,24,mq MTQ,Auxerre,2
f637,Mattia De Sciglio,DF,32,it ITA,Empoli,11
f638,Lorenzo De Silvestri,DF,36,it ITA,Bologna,13
f639,Thibault De Smet,DF,26,be BEL,Reims,5
f640,Koni De Winter,DF,22,be BEL,Genoa,13
f641,Amar Dedić,FW,22,ba BIH,Marseille,1
f642,Alessandro Deiola,MF,29,it ITA,Cagliari,18
f643,Romain Del Castillo,FW,28,fr FRA,Brest,18
f644,Enrico Del Prato,DF,25,it ITA,Parma,21
f645,Liam Delap,FW,22,eng ENG,Ipswich Town,23
f646,Fisayo Dele-Bashiru,"MF,FW",24,ng NGA,Lazio,15
f647,Andy Delort,FW,33,dz ALG,Montpellier,2
f648,Olivier Deman,DF,24,be BEL,Werder Bremen,9
f649,Ali Dembélé,DF,21,fr FRA,Torino,9
f650,Ousmane Dembélé,FW,27,fr FRA,Paris S-G,19
f651,Ermedin Demirović,FW,26,ba BIH,Stuttgart,21
f652,Sepp van den Berg,DF,23,nl NED,Brentford,20
f653,Arthur Desmas,GK,30,fr FRA,Le Havre,17
f654,Justin Devenny,MF,21,nir NIR,Crystal Palace,11
f655,Kiernan Dewsbury-Hall,MF,26,eng ENG,Chelsea,7
f656,Michele Di Gregorio,GK,27,it ITA,Juventus,19
f657,Giovanni Di Lorenzo,DF,31,it ITA,Napoli,24
f658,Boulaye Dia,"MF,FW",28,sn SEN,Lazio,21
f659,Mouctar Diakhaby,DF,28,gn GUI,Valencia,3
f660,Mamadou Diakhon,"FW,MF",19,fr FRA,Reims,17
f661,Bafodé Diakité,DF,24,fr FRA,Lille,20
f662,Oumar Diakité,FW,21,ci CIV,Reims,19
f663,Amad Diallo,"FW,MF",22,ci CIV,Manchester Utd,22
f664,Assane Diao,"FW,MF",19,es ESP,Como,6
f665,Assane Diao,FW,19,es ESP,Betis,10
f666,Habib Diarra,"MF,FW",21,sn SEN,Strasbourg,20
f667,Moussa Diarra,DF,24,ml MLI,Alavés,18
f668,Rúben Dias,DF,27,pt POR,Manchester City,14
f669,Krépin Diatta,DF,25,sn SEN,Monaco,9
f670,Kandet Diawara,FW,25,gn GUI,Le Havre,1
f671,Mahamadou Diawara,MF,19,fr FRA,Le Havre,3
f672,Mahamadou Diawara,MF,19,fr FRA,Lyon,2
f673,Brahim Díaz,"FW,MF",25,ma MAR,Real Madrid,18
f674,Luis Díaz,FW,28,co COL,Liverpool,23
f675,Pedro Díaz,"MF,FW",26,es ESP,Rayo Vallecano,11
f676,Tyler Dibling,"FW,MF",18,eng ENG,Southampton,20
f677,Diego,"FW,MF",24,es ESP,Leganés,14
f678,Justin Diehl,"FW,DF",20,de GER,Stuttgart,5
f679,Bamba Dieng,"FW,MF",24,sn SEN,Angers,13
f680,Eric Dier,DF,31,eng ENG,Bayern Munich,9
f681,Lucas Digne,DF,31,fr FRA,Aston Villa,24
f682,Kembo Diliwidi,DF,19,fr FRA,Lens,1
f683,Federico Dimarco,"DF,FW",27,it ITA,Inter,21
f684,Stole Dimitrievski,GK,31,mk MKD,Valencia,4
f685,Junior Dina Ebimbe,"MF,FW",24,fr FRA,Eint Frankfurt,6
f686,Eren Dinkçi,"MF,FW",23,de GER,Freiburg,17
f687,Sinaly Diomande,DF,23,ci CIV,Auxerre,15
f688,Lois Diony,FW,32,fr FRA,Angers,1
f689,Issa Diop,DF,28,fr FRA,Fulham,17
f690,Sofiane Diop,"MF,FW",24,fr FRA,Nice,17
f691,Andy Diouf,MF,21,fr FRA,Lens,21
f692,Yehvann Diouf,GK,25,fr FRA,Reims,21
f693,Assane Dioussé,MF,27,sn SEN,Auxerre,10
f694,Axel Disasi,DF,26,fr FRA,Chelsea,6
f695,Roman Dixon,DF,20,eng ENG,Everton,1
f696,Álvaro djaló,FW,25,es ESP,Athletic Club,13
f697,Djené,"DF,MF",33,tg TOG,Getafe,22
f698,Berat Djimsiti,DF,31,al ALB,Atalanta,22
f699,Marko Dmitrović,GK,33,rs SRB,Leganés,17
f700,Ritsu Doan,"FW,MF",26,jp JPN,Freiburg,21
f701,Dodô,DF,26,br BRA,Fiorentina,23
f702,Danilho Doekhi,DF,26,nl NED,Union Berlin,21
f703,Matt Doherty,DF,33,ie IRL,Wolves,17
f704,Jeremy Doku,"FW,MF",22,be BEL,Manchester City,15
f705,Marc Domenech,FW,19,es ESP,Mallorca,3
f706,Álex Domínguez,GK,26,es ESP,Toulouse,1
f707,Benjamín Domínguez,FW,21,ar ARG,Bologna,12
f708,Carlos Dominguez,DF,24,es ESP,Celta Vigo,11
f709,Israel Domínguez,FW,21,es ESP,Sevilla,1
f710,Nicolás Domínguez,"MF,FW",26,ar ARG,Nott'ham Forest,21
f711,Sergi Dominguez,DF,19,es ESP,Barcelona,3
f712,Gianluigi Donnarumma,GK,25,it ITA,Paris S-G,17
f713,Patrick Dorgu,"DF,FW",20,dk DEN,Lecce,21
f714,Alfie Dorrington,DF,19,eng ENG,Tottenham,1
f715,Niklas Dorsch,MF,27,de GER,Augsburg,1
f716,Niklas Dorsch,MF,27,de GER,Heidenheim,13
f717,Alberto Dossena,DF,26,it ITA,Como,20
f718,Abdoulaye Doucouré,MF,32,ml MLI,Everton,22
f719,Cheick Doucouré,MF,25,ml MLI,Crystal Palace,13
f720,Désiré Doué,"FW,MF",19,fr FRA,Paris S-G,18
f721,Guela Doué,DF,22,ci CIV,Strasbourg,20
f722,Douglas,MF,28,br BRA,Nantes,17
f723,Ismaël Doukouré,"MF,DF",21,fr FRA,Strasbourg,19
f724,Issa Doumbia,MF,21,ci CIV,Venezia,11
f725,Kamory Doumbia,MF,21,ml MLI,Brest,19
f726,Amidou Doumbouya,DF,17,fr FRA,Nice,2
f727,Anastasios Douvikas,FW,25,gr GRE,Como,1
f728,Anastasios Douvikas,FW,25,gr GRE,Celta Vigo,20
f729,Artem Dovbyk,FW,27,ua UKR,Roma,22
f730,Flynn Downes,MF,26,eng ENG,Southampton,18
f731,Tommy Doyle,MF,23,eng ENG,Wolves,19
f732,Radu Drăgușin,DF,23,ro ROU,Tottenham,16
f733,Patrick Drewes,GK,32,de GER,Bochum,21
f734,Tim Drexler,DF,19,de GER,Hoffenheim,8
f735,Domingos Duarte,DF,29,pt POR,Getafe,10
f736,Martin Dúbravka,GK,36,sk SVK,Newcastle Utd,9
f737,Marvin Ducksch,FW,30,de GER,Werder Bremen,21
f738,Ondrej Duda,MF,30,sk SVK,Hellas Verona,15
f739,Duk,FW,24,cv CPV,Leganés,1
f740,Denzel Dumfries,"DF,FW",28,nl NED,Inter,20
f741,Alfred Duncan,MF,31,gh GHA,Venezia,11
f742,Lewis Dunk,DF,33,eng ENG,Brighton,19
f743,Jáder Durán,FW,21,co COL,Aston Villa,20
f744,Pablo Durán,"FW,MF",23,es ESP,Celta Vigo,13
f745,Julien Duranville,"FW,MF",18,be BEL,Dortmund,8
f746,Hugo Duro,FW,25,es ESP,Valencia,20
f747,Jean-Kevin Duverne,DF,27,ht HAI,Nantes,9
f748,Paulo Dybala,"FW,MF",31,ar ARG,Roma,21
f749,Stefan Džodić,"DF,MF",19,rs SRB,Montpellier,5
f750,Adam Dźwigała,"DF,MF",29,pl POL,St. Pauli,11
f751,Aron Dønnum,"DF,MF",26,no NOR,Toulouse,20
f752,Enzo Ebosse,DF,25,cm CMR,Udinese,2
f753,Ederson,GK,31,br BRA,Manchester City,15
f754,Éderson,MF,25,br BRA,Atalanta,24
f755,Noah Edjouma,MF,19,fr FRA,Toulouse,1
f756,George Edmundson,DF,27,eng ENG,Ipswich Town,1
f757,Odsonne Édouard,"MF,FW",27,fr FRA,Crystal Palace,2
f758,Odsonne Édouard,FW,27,fr FRA,Leicester City,4
f759,Samuel Edozie,"DF,FW",22,eng ENG,Southampton,2
f760,Ronnie Edwards,DF,21,eng ENG,Southampton,1
f761,Johannes Eggestein,FW,26,de GER,St. Pauli,19
f762,Maximilian Eggestein,MF,28,de GER,Freiburg,20
f763,Kingsley Ehizibue,DF,29,nl NED,Udinese,21
f764,Chidera Ejuke,"FW,MF",27,ng NGA,Sevilla,13
f765,Jeff Ekhator,"FW,MF",18,it ITA,Genoa,15
f766,Hugo Ekitike,FW,22,fr FRA,Eint Frankfurt,20
f767,Jurgen Ekkelenkamp,MF,24,nl NED,Udinese,20
f768,Jacques Ekomie,DF,21,ga GAB,Angers,10
f769,Emmanuel Ekong,"MF,FW",22,se SWE,Empoli,15
f770,Caleb Ekuban,FW,30,gh GHA,Genoa,9
f771,Pierre Ekwah Elimby,MF,23,fr FRA,Saint-Étienne,17
f772,Anthony Elanga,"FW,MF",22,se SWE,Nott'ham Forest,24
f773,Meschak Elia,FW,27,cd COD,Nantes,1
f774,Mikael Ellertsson,"DF,MF",22,is ISL,Venezia,23
f775,Harvey Elliott,"MF,FW",21,eng ENG,Liverpool,9
f776,Elif Elmas,FW,25,mk MKD,Torino,1
f777,Elif Elmas,MF,25,mk MKD,RB Leipzig,2
f778,Aritz Elustondo,DF,30,es ESP,Real Sociedad,10
f779,Nico Elvedi,DF,28,ch SUI,Gladbach,14
f780,Adri Embarba,"FW,MF",32,es ESP,Rayo Vallecano,21
f781,Breel Embolo,FW,28,ch SUI,Monaco,18
f782,Emanuel Emegha,FW,22,nl NED,Strasbourg,16
f783,Emerson,DF,26,br BRA,Milan,17
f784,Yunus Emre Konak,"MF,FW",19,tr TUR,Brentford,5
f785,Julio Enciso,MF,21,py PAR,Ipswich Town,2
f786,Julio Enciso,"MF,FW",21,py PAR,Brighton,12
f787,Wataru Endo,MF,32,jp JPN,Liverpool,10
f788,Endrick,FW,18,br BRA,Real Madrid,14
f789,Yannik Engelhardt,"MF,DF",24,de GER,Como,17
f790,Arne Engels,"MF,FW",21,be BEL,Augsburg,1
f791,Christian Eriksen,MF,33,dk DEN,Manchester Utd,13
f792,Martin Erlic,DF,27,hr CRO,Bologna,5
f793,Patrick Erras,DF,30,de GER,Holstein Kiel,10
f794,Alfonso Espino,DF,33,uy URU,Rayo Vallecano,6
f795,Sebastiano Esposito,"MF,FW",22,it ITA,Empoli,20
f796,Romain Esse,MF,19,eng ENG,Crystal Palace,1
f797,Samuel Essende,FW,27,cd COD,Augsburg,20
f798,Dario Essugo,MF,19,pt POR,Las Palmas,14
f799,Nahuel Estévez,MF,29,ar ARG,Parma,7
f800,Pervis Estupiñán,DF,27,ec ECU,Brighton,18
f801,Evanilson,FW,25,br BRA,Bournemouth,19
f802,Jonny Evans,DF,37,nir NIR,Manchester Utd,6
f803,Edu Expósito,"MF,FW",28,es ESP,Espanyol,5
f804,Eberechi Eze,"MF,FW",26,eng ENG,Crystal Palace,20
f805,Abde Ezzalzouli,"FW,MF",23,ma MAR,Betis,23
f806,Giovanni Fabbian,MF,22,it ITA,Bologna,19
f807,Łukasz Fabiański,GK,39,pl POL,West Ham,13
f808,Alieu Fadera,"FW,DF",23,gm GAM,Como,21
f809,Wout Faes,DF,26,be BEL,Leicester City,21
f810,Nicolò Fagioli,"MF,DF",24,it ITA,Fiorentina,1
f811,Nicolò Fagioli,MF,24,it ITA,Juventus,17
f812,Romain Faivre,"MF,FW",26,fr FRA,Brest,16
f813,Wladimiro Falcone,GK,29,it ITA,Lecce,24
f814,Davide Faraoni,"DF,MF",33,it ITA,Hellas Verona,5
f815,Abdul Fatawu Issahaku,FW,20,gh GHA,Leicester City,11
f816,Ansu Fati,FW,22,es ESP,Barcelona,4
f817,Khalil Fayad,"MF,FW",20,fr FRA,Montpellier,10
f818,Jacopo Fazzini,"MF,FW",21,it ITA,Empoli,12
f819,Peter Federico,"MF,FW",22,do DOM,Getafe,12
f820,Nabil Fekir,MF,31,fr FRA,Betis,2
f821,Mattia Felici,"MF,DF",23,it ITA,Cagliari,14
f822,João Félix,"FW,MF",25,pt POR,Chelsea,12
f823,João Félix,MF,25,pt POR,Milan,1
f824,Kiko Femenía,DF,34,es ESP,Villarreal,21
f825,Evan Ferguson,FW,20,ie IRL,Brighton,13
f826,Lewis Ferguson,MF,25,sct SCO,Bologna,7
f827,Zinedine Ferhat,"FW,MF",31,dz ALG,Angers,13
f828,Bruno Fernandes,MF,30,pt POR,Manchester Utd,23
f829,Edimilson Fernandes,MF,28,ch SUI,Brest,13
f830,Mateus Fernandes,MF,20,pt POR,Southampton,22
f831,Álvaro Fernández,GK,26,es ESP,Sevilla,8
f832,Enzo Fernández,MF,24,ar ARG,Chelsea,23
f833,Roberto Férnandez,FW,22,es ESP,Espanyol,4
f834,Valery Fernández,"MF,FW",25,es ESP,Mallorca,11
f835,Matias Fernandez-Pardo,FW,20,be BEL,Lille,11
f836,Jordan Ferri,MF,32,fr FRA,Montpellier,14
f837,Daniel Fila,FW,22,cz CZE,Venezia,1
f838,Karol Fila,MF,26,pl POL,Strasbourg,1
f839,Kilian Fischer,DF,24,de GER,Wolfsburg,21
f840,Mark Flekken,GK,31,nl NED,Brentford,23
f841,Mateo Flores,MF,20,es ESP,Betis,5
f842,Phil Foden,"MF,FW",24,eng ENG,Manchester City,19
f843,Malick Fofana,"FW,MF",19,be BEL,Lyon,19
f844,Seko Fofana,MF,29,ci CIV,Rennes,5
f845,Wesley Fofana,DF,24,fr FRA,Chelsea,12
f846,Yahia Fofana,GK,24,ci CIV,Angers,21
f847,Youssouf Fofana,MF,26,fr FRA,Milan,21
f848,Jonas Föhrenbach,DF,29,de GER,Heidenheim,19
f849,Michael Folorunsho,"MF,FW",27,it ITA,Fiorentina,5
f850,Michael Folorunsho,"FW,MF",27,it ITA,Napoli,6
f851,Lamine Fomba,MF,27,fr FRA,Saint-Étienne,5
f852,Carlos Forbs,"MF,FW",20,pt POR,Wolves,9
f853,Pablo Fornals,"MF,FW",28,es ESP,Betis,15
f854,Omari Forson,"MF,FW",20,eng ENG,Monza,5
f855,Fraser Forster,GK,36,eng ENG,Tottenham,7
f856,Héctor Fort,DF,18,es ESP,Barcelona,10
f857,Dimitri Foulquier,DF,31,fr FRA,Valencia,21
f858,Juan Foyth,DF,27,ar ARG,Villarreal,6
f859,Alejandro Francés,DF,22,es ESP,Girona,11
f860,Przemysław Frankowski,DF,29,pl POL,Lens,18
f861,Enric Franquesa,"DF,FW",27,es ESP,Leganés,12
f862,Ryan Fraser,"FW,DF",30,sct SCO,Southampton,8
f863,Davide Frattesi,MF,25,it ITA,Inter,20
f864,Morten Frendrup,MF,23,dk DEN,Genoa,23
f865,Martin Frese,DF,27,dk DEN,Hellas Verona,5
f866,Remo Freuler,MF,32,ch SUI,Bologna,24
f867,Marco Friedl,DF,26,at AUT,Werder Bremen,17
f868,Marvin Friedrich,DF,29,de GER,Gladbach,14
f869,Jeremie Frimpong,"DF,MF",24,nl NED,Leverkusen,21
f870,Jorge de Frutos,"MF,FW",27,es ESP,Rayo Vallecano,23
f871,Darío Fuentes,DF,22,es ESP,Sevilla,1
f872,Chris Führich,"MF,FW",27,de GER,Stuttgart,20
f873,Shiō Fukuda,"FW,MF",20,jp JPN,Gladbach,3
f874,Angelo Fulgini,"MF,FW",28,fr FRA,Lens,17
f875,Niclas Füllkrug,FW,32,de GER,West Ham,9
f876,Kyogo Furuhashi,FW,30,jp JPN,Rennes,1
f877,Manuel Fuster,"FW,MF",27,es ESP,Las Palmas,17
f878,Matteo Gabbia,DF,25,it ITA,Milan,14
